datetime,date,hour,id_meteo_station,Velocità del vento,dew_point,humidity,temperature,wet_bulb,wind_dir,wind_gust
2025-06-23 00:54:47,2025-06-23,00:54:47,in,0.89,1310.8,0.0,21.4,6.71,330.2,1.2
2025-06-23 00:55:10,2025-06-23,00:55:10,out,0.37,20.8,100.0,20.8,20.817,344.1,0.55
2025-06-23 00:55:50,2025-06-23,00:55:50,in,1.02,,,1310.8,,321.1,1.65
2025-06-23 00:56:14,2025-06-23,00:56:14,out,0.5,20.8,100.0,20.8,20.817,339.4,0.65
2025-06-23 00:56:54,2025-06-23,00:56:54,in,1.02,1310.8,0.0,21.4,6.71,323.8,2.0
2025-06-23 00:57:17,2025-06-23,00:57:17,out,0.73,20.8,100.0,20.8,20.817,332.2,0.92
2025-06-23 00:57:58,2025-06-23,00:57:58,in,0.87,1310.8,0.0,21.4,6.71,335.8,1.3
2025-06-23 00:58:20,2025-06-23,00:58:20,out,0.93,20.8,100.0,20.8,20.817,346.7,1.06
2025-06-23 00:59:01,2025-06-23,00:59:01,in,0.84,1310.8,0.0,21.4,6.71,334.4,1.41
2025-06-23 00:59:24,2025-06-23,00:59:24,out,0.89,20.9,100.0,20.9,20.918,355.9,1.13
2025-06-23 01:00:04,2025-06-23,01:00:04,in,0.77,1310.8,0.0,21.4,6.71,334.1,1.0
2025-06-23 01:00:28,2025-06-23,01:00:28,out,1.02,20.9,100.0,20.9,20.918,359.2,1.28
2025-06-23 01:01:08,2025-06-23,01:01:08,in,0.96,1310.8,0.0,21.3,6.669,329.1,1.32
2025-06-23 01:01:32,2025-06-23,01:01:32,out,0.91,20.9,100.0,20.9,20.918,29.6,1.29
2025-06-23 01:02:12,2025-06-23,01:02:12,in,0.96,1310.8,0.0,21.3,6.669,329.1,1.32
2025-06-23 01:02:35,2025-06-23,01:02:35,out,0.5,20.9,100.0,20.9,20.918,29.0,1.42
2025-06-23 01:03:15,2025-06-23,01:03:15,in,0.96,1310.8,0.0,21.2,6.627,329.1,1.32
2025-06-23 01:03:38,2025-06-23,01:03:38,out,0.88,20.9,100.0,20.9,20.918,45.1,1.08
2025-06-23 01:04:18,2025-06-23,01:04:18,in,0.96,1310.8,0.0,21.2,6.627,329.1,1.32
2025-06-23 01:04:42,2025-06-23,01:04:42,out,0.57,20.8,100.0,20.8,20.817,41.5,1.42
2025-06-23 01:05:22,2025-06-23,01:05:22,in,0.96,1310.8,0.0,21.1,6.586,329.1,1.32
2025-06-23 01:05:46,2025-06-23,01:05:46,out,1.04,20.8,100.0,20.8,20.817,27.7,1.44
2025-06-23 01:06:26,2025-06-23,01:06:26,in,0.96,1310.8,0.0,21.1,6.586,329.1,1.32
2025-06-23 01:06:49,2025-06-23,01:06:49,out,0.8,20.8,100.0,20.8,20.817,27.6,1.18
2025-06-23 01:07:29,2025-06-23,01:07:29,in,0.96,1310.8,0.0,21.1,6.586,329.1,1.32
2025-06-23 01:07:52,2025-06-23,01:07:52,out,0.65,20.8,100.0,20.8,20.817,355.1,1.1
2025-06-23 01:08:32,2025-06-23,01:08:32,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:08:56,2025-06-23,01:08:56,out,0.78,20.8,100.0,20.8,20.817,354.8,0.91
2025-06-23 01:09:36,2025-06-23,01:09:36,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:10:00,2025-06-23,01:10:00,out,0.5,20.8,100.0,20.8,20.817,355.9,0.94
2025-06-23 01:10:40,2025-06-23,01:10:40,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:11:03,2025-06-23,01:11:03,out,0.89,20.8,100.0,20.8,20.817,352.0,1.08
2025-06-23 01:11:43,2025-06-23,01:11:43,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:12:06,2025-06-23,01:12:06,out,0.85,20.8,100.0,20.8,20.817,349.5,1.12
2025-06-23 01:12:46,2025-06-23,01:12:46,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:13:10,2025-06-23,01:13:10,out,1.14,,,20.8,,20.8,10.0
2025-06-23 01:13:50,2025-06-23,01:13:50,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
2025-06-23 01:14:14,2025-06-23,01:14:14,out,0.89,20.8,100.0,20.8,20.817,0.4,1.08
2025-06-23 01:14:54,2025-06-23,01:14:54,in,0.96,1310.8,0.0,21.0,6.544,329.1,1.32
