datetime;hour;CO2;NH3;CH4;Pressure;date;id_channel
2025-04-01 00:50:07;00:50:07;579.8724814;1.52919184;14.75552971;976.56;2025-04-01;3
2025-04-01 00:54:09;00:54:09;680.380068;1.64246531;20.66095065;976.56;2025-04-01;3
2025-04-01 00:58:09;00:58:09;612.8284764;1.5924668;16.26423797;976.56;2025-04-01;3
2025-04-01 01:02:10;01:02:10;666.0062261;1.82904169;13.71018578;976.56;2025-04-01;3
2025-04-01 01:06:07;01:06:07;598.3999811;2.11434394;11.58080924;976.56;2025-04-01;3
2025-04-01 01:10:15;01:10:15;626.327864;2.21561212;18.20167071;976.56;2025-04-01;3
2025-04-01 01:14:13;01:14:13;777.0619171;2.21490593;34.5303898;976.56;2025-04-01;3
2025-04-01 01:18:14;01:18:14;688.4687699;2.26885913;27.55893098;976.56;2025-04-01;3
2025-04-01 01:22:14;01:22:14;659.8303929;1.9894889;17.93924754;976.5;2025-04-01;3
2025-04-01 01:26:10;01:26:10;866.0922915;2.81983145;44.37950606;976.5;2025-04-01;3
2025-04-01 01:30:11;01:30:11;;3.38295031;80.8818185;976.5;2025-04-01;3
2025-04-01 01:34:11;01:34:11;;2.7139024;60.29734545;976.38;2025-04-01;3
2025-04-01 01:38:18;01:38:18;649.6102087;2.60034645;31.26284651;976.38;2025-04-01;3
2025-04-01 01:42:19;01:42:19;675.4066094;2.47040681;15.12907034;976.25;2025-04-01;3
2025-04-01 01:46:19;01:46:19;671.1982982;2.08637867;21.4422219;976.25;2025-04-01;3
2025-04-01 01:50:15;01:50:15;;3.53012108;81.00328293;976.25;2025-04-01;3
2025-04-01 01:54:13;01:54:13;819.5276022;2.79384352;43.43178355;976.19;2025-04-01;3
2025-04-01 01:58:09;01:58:09;607.2538305;2.23722165;16.26573753;976.19;2025-04-01;3
2025-04-01 02:02:12;02:02:12;623.7045012;2.83169551;28.98051475;976.06;2025-04-01;3
2025-04-01 02:06:08;02:06:08;547.0804467;2.21928433;15.37049965;976.06;2025-04-01;3
2025-04-01 02:10:05;02:10:05;582.3865374;2.15233717;16.65712294;976.0;2025-04-01;3
2025-04-01 02:14:02;02:14:02;550.7968773;1.71435583;8.4746187;976.0;2025-04-01;3
2025-04-01 02:17:59;02:17:59;527.5145326;1.92635518;9.10188505;976.0;2025-04-01;3
2025-04-01 02:21:55;02:21:55;589.4914783;1.54585801;10.87511586;975.88;2025-04-01;3
2025-04-01 02:25:53;02:25:53;585.5017807;1.71435583;7.79336817;975.88;2025-04-01;3
2025-04-01 02:29:50;02:29:50;608.2922449;1.84697901;16.97502986;975.88;2025-04-01;3
2025-04-01 02:33:48;02:33:48;592.3334546;1.58427495;13.32000002;975.75;2025-04-01;3
2025-04-01 02:37:51;02:37:51;592.0601877;1.70743513;14.17759892;975.75;2025-04-01;3
2025-04-01 02:41:48;02:41:48;663.2189031;1.61280518;11.46834217;975.75;2025-04-01;3
2025-04-01 02:45:45;02:45:45;741.2639459;1.7944382;25.16113304;975.69;2025-04-01;3
2025-04-01 02:49:41;02:49:41;537.0242227;1.7587048;11.71247069;975.75;2025-04-01;3
2025-04-01 02:53:44;02:53:44;589.7647453;1.3964133;10.09159527;975.75;2025-04-01;3
2025-04-01 02:57:42;02:57:42;614.8506518;1.56450153;16.15626958;975.69;2025-04-01;3
2025-04-01 03:01:45;03:01:45;565.7172531;1.63596833;10.59724722;975.69;2025-04-01;3
2025-04-01 03:05:47;03:05:47;536.7837477;1.57354081;8.42753249;975.69;2025-04-01;3
2025-04-01 03:09:45;03:09:45;560.0879538;1.56167675;7.58462929;975.56;2025-04-01;3
2025-04-01 03:13:43;03:13:43;600.3675032;1.50475754;11.6106505;975.56;2025-04-01;3
2025-04-01 03:17:40;03:17:40;531.5424875;1.51690407;7.48715782;975.56;2025-04-01;3
2025-04-01 03:21:35;03:21:35;557.9564715;1.480182;10.93449847;975.5;2025-04-01;3
2025-04-01 03:25:41;03:25:41;541.3035832;1.45348788;6.87743635;975.5;2025-04-01;3
2025-04-01 03:29:41;03:29:41;562.6020098;1.47848714;7.96776711;975.5;2025-04-01;3
2025-04-01 03:33:37;03:33:37;553.7481604;1.38724691;6.88223494;975.5;2025-04-01;3
2025-04-01 03:37:35;03:37:35;605.8874957;1.41069254;9.49896878;975.38;2025-04-01;3
2025-04-01 03:41:30;03:41:30;547.3537136;1.47665103;7.38653729;975.25;2025-04-01;3
2025-04-01 03:45:27;03:45:27;562.3833962;1.46732927;11.10439873;975.19;2025-04-01;3
2025-04-01 03:49:29;03:49:29;584.7366333;1.45461779;11.10184947;975.19;2025-04-01;3
2025-04-01 03:53:24;03:53:24;576.8118915;1.63370851;12.9628046;975.19;2025-04-01;3
2025-04-01 03:57:22;03:57:22;537.0515494;1.42043801;7.41637855;975.19;2025-04-01;3
2025-04-01 04:01:18;04:01:18;557.1366707;1.5177515;10.94049672;975.19;2025-04-01;3
2025-04-01 04:05:16;04:05:16;554.3493477;1.54811783;10.4258474;975.19;2025-04-01;3
2025-04-01 04:09:15;04:09:15;566.0451734;1.4958595;9.925144;975.06;2025-04-01;3
2025-04-01 04:13:17;04:13:17;531.5096955;1.56181799;8.10257763;975.06;2025-04-01;3
2025-04-01 04:17:13;04:17:13;567.1382413;1.68978029;9.99322407;975.06;2025-04-01;3
2025-04-01 04:21:14;04:21:14;620.4252978;1.68229464;11.09420171;975.06;2025-04-01;3
2025-04-01 04:25:11;04:25:11;579.9271348;1.45405283;11.58200889;975.0;2025-04-01;3
2025-04-01 04:29:09;04:29:09;550.7422239;1.48244182;8.26962872;975.0;2025-04-01;3
2025-04-01 04:33:07;04:33:07;586.4855418;1.47594484;10.505774;974.88;2025-04-01;3
2025-04-01 04:37:03;04:37:03;585.3924739;1.73271687;14.31825774;974.88;2025-04-01;3
2025-04-01 04:41:00;04:41:00;582.605151;1.49910799;13.20813277;974.88;2025-04-01;3
2025-04-01 04:44:58;04:44:58;644.3088297;1.46747051;11.25435482;974.75;2025-04-01;3
2025-04-01 04:49:00;04:49:00;574.8990228;1.43357322;11.52097676;974.75;2025-04-01;3
2025-04-01 04:52:58;04:52:58;575.6641703;1.49133986;8.66701237;974.88;2025-04-01;3
2025-04-01 04:56:55;04:56:55;587.9065299;1.82875921;16.37970416;974.75;2025-04-01;3
2025-04-01 05:00:52;05:00:52;649.8834757;1.80517234;14.74203366;974.75;2025-04-01;3
2025-04-01 05:04:50;05:04:50;533.6739698;1.73215191;6.77951502;974.69;2025-04-01;3
2025-04-01 05:08:48;05:08:48;572.0570465;1.93482951;13.12580688;974.69;2025-04-01;3
2025-04-01 05:12:46;05:12:46;597.9081006;1.83765725;17.25094907;974.69;2025-04-01;3
2025-04-01 05:16:52;05:16:52;584.4087129;1.76802655;9.77518791;974.56;2025-04-01;3
2025-04-01 05:20:50;05:20:50;529.4274013;1.81350543;8.28957288;974.69;2025-04-01;3
2025-04-01 05:24:47;05:24:47;536.2481445;1.98751156;10.51702071;974.69;2025-04-01;3
2025-04-01 05:28:46;05:28:46;572.7128872;1.68568437;12.24751403;974.69;2025-04-01;3
2025-04-01 05:32:41;05:32:41;590.8031597;1.55800455;12.0239295;974.69;2025-04-01;3
2025-04-01 05:36:38;05:36:38;580.7469357;1.48413668;14.79001961;974.56;2025-04-01;3
2025-04-01 05:40:40;05:40:40;561.6182487;1.67057182;9.60393805;974.56;2025-04-01;3
2025-04-01 05:44:35;05:44:35;639.8272517;1.41789572;14.08357645;974.56;2025-04-01;3
2025-04-01 05:48:37;05:48:37;600.0395828;1.4739675;9.20595458;974.5;2025-04-01;3
2025-04-01 05:52:33;05:52:33;589.2728647;1.60828554;10.81543333;974.5;2025-04-01;3
2025-04-01 05:56:36;05:56:36;548.2828213;1.49162234;9.91374734;974.5;2025-04-01;3
2025-04-01 06:00:34;06:00:34;597.1429531;1.59769263;12.15544099;974.5;2025-04-01;3
2025-04-01 06:04:30;06:04:30;606.7619499;1.62707029;15.48896496;974.38;2025-04-01;3
2025-04-01 06:08:28;06:08:28;530.1925488;1.52622583;6.9120762;974.38;2025-04-01;3
2025-04-01 06:12:29;06:12:29;548.3921281;1.57523567;9.5621003;974.38;2025-04-01;3
2025-04-01 06:16:25;06:16:25;548.3374747;1.57467072;8.44807648;974.5;2025-04-01;3
2025-04-01 06:20:27;06:20:27;537.0843414;1.75164286;8.11307456;974.38;2025-04-01;3
2025-04-01 06:24:21;06:24:21;575.33625;1.7805968;9.61833383;974.5;2025-04-01;3
2025-04-01 06:28:18;06:28:18;622.2835131;1.59599777;13.49139983;974.5;2025-04-01;3
2025-04-01 06:32:20;06:32:20;630.7001353;1.51450301;13.65800105;974.5;2025-04-01;3
2025-04-01 06:36:18;06:36:18;700.7657829;1.60178856;22.09902959;974.5;2025-04-01;3
2025-04-01 06:40:20;06:40:20;929.435572;1.77212248;38.01986811;974.5;2025-04-01;3
2025-04-01 06:44:17;06:44:17;553.7481604;1.68497817;8.29092249;974.56;2025-04-01;3
2025-04-01 06:48:21;06:48:21;624.1963818;1.86265651;16.89405357;974.56;2025-04-01;3
2025-04-01 06:52:19;06:52:19;630.2082548;2.00996852;17.01401844;974.56;2025-04-01;3
2025-04-01 06:56:16;06:56:16;819.9648293;2.11971102;28.46466579;974.56;2025-04-01;3
2025-04-01 07:00:15;07:00:15;542.5332845;1.7561625;6.85869183;974.56;2025-04-01;3
2025-04-01 07:04:13;07:04:13;504.636623;1.6030597;6.17609169;974.56;2025-04-01;3
2025-04-01 07:08:15;07:08:15;517.0538735;1.73497669;6.35648887;974.56;2025-04-01;3
2025-04-01 07:12:11;07:12:11;621.5183656;1.77042761;14.83260714;974.56;2025-04-01;3
2025-04-01 07:16:14;07:16:14;581.0202026;1.71025991;10.18201879;974.69;2025-04-01;3
2025-04-01 07:20:18;07:20:18;528.84261;1.75856356;6.95031501;974.69;2025-04-01;3
2025-04-01 07:24:19;07:24:19;547.7909408;1.89782496;8.9702236;974.56;2025-04-01;3
2025-04-01 07:28:17;07:28:17;523.4647163;1.87918144;6.69973837;974.56;2025-04-01;3
2025-04-01 07:32:14;07:32:14;564.9521056;1.89500018;11.87247384;974.69;2025-04-01;3
2025-04-01 07:36:12;07:36:12;534.0073555;1.73935509;9.41109451;974.69;2025-04-01;3
2025-04-01 07:40:10;07:40:10;528.6731845;1.64698495;6.87893591;974.56;2025-04-01;3
2025-04-01 07:44:07;07:44:07;584.4087129;1.64980973;11.22151444;974.56;2025-04-01;3
2025-04-01 07:48:05;07:48:05;559.5960733;1.5166216;9.67531715;974.5;2025-04-01;3
2025-04-01 07:52:05;07:52:05;555.6063757;1.70616398;9.12062956;974.5;2025-04-01;3
