1,2,3,4,5,6,Timestamp,Entity Name,,NaN,,,,,2025-09-18 10:10:36,DEV_FARM60_TYPE11_ID2
,,"30,9",,,,2025-09-18 13:10:37,DEV_FARM60_TYPE11_ID3
,,,"29,8",,,2025-09-18 13:10:37,DEV_FARM60_TYPE11_ID4
,,,,"31,3",,2025-09-18 13:10:39,DEV_FARM60_TYPE11_ID5
,,,,,"31,2",2025-09-18 13:10:40,DEV_FARM60_TYPE11_ID6
,"29,4",,,,,2025-09-18 13:20:36,DEV_FARM60_TYPE11_ID2
,,"30,9",,,,2025-09-18 13:20:37,DEV_FARM60_TYPE11_ID3
,,,"29,6",,,2025-09-18 13:20:37,DEV_FARM60_TYPE11_ID4
,,,,"31,2",,2025-09-18 13:20:39,DEV_FARM60_TYPE11_ID5
,,,,,31,2025-09-18 13:20:40,DEV_FARM60_TYPE11_ID6
,"29,2",,,,,2025-09-18 13:30:36,DEV_FARM60_TYPE11_ID2
,,"30,6",,,,2025-09-18 13:30:37,DEV_FARM60_TYPE11_ID3
,,,"29,4",,,2025-09-18 13:30:37,DEV_FARM60_TYPE11_ID4
,,,,"30,8",,2025-09-18 13:30:39,DEV_FARM60_TYPE11_ID5
,"29,2",,,,,2025-09-18 13:40:36,DEV_FARM60_TYPE11_ID2
,,"30,3",,,,2025-09-18 13:40:37,DEV_FARM60_TYPE11_ID3
,,,"29,4",,,2025-09-18 13:40:38,DEV_FARM60_TYPE11_ID4
,,,,"30,5",,2025-09-18 13:40:39,DEV_FARM60_TYPE11_ID5
,"29,3",,,,,2025-09-18 13:50:36,DEV_FARM60_TYPE11_ID2
,,"30,3",,,,2025-09-18 13:50:37,DEV_FARM60_TYPE11_ID3
,,,"29,5",,,2025-09-18 13:50:39,DEV_FARM60_TYPE11_ID4
,,,,"30,4",,2025-09-18 13:50:39,DEV_FARM60_TYPE11_ID5
,"29,4",,,,,2025-09-18 14:00:36,DEV_FARM60_TYPE11_ID2
,,"30,4",,,,2025-09-18 14:00:37,DEV_FARM60_TYPE11_ID3
,,,"29,7",,,2025-09-18 14:00:37,DEV_FARM60_TYPE11_ID4
,,,,"30,4",,2025-09-18 14:00:39,DEV_FARM60_TYPE11_ID5
,"29,4",,,,,2025-09-18 14:10:36,DEV_FARM60_TYPE11_ID2
,,"30,3",,,,2025-09-18 14:10:37,DEV_FARM60_TYPE11_ID3
,,,"29,6",,,2025-09-18 14:10:38,DEV_FARM60_TYPE11_ID4
,,,,"30,3",,2025-09-18 14:10:39,DEV_FARM60_TYPE11_ID5
,"29,6",,,,,2025-09-18 14:20:36,DEV_FARM60_TYPE11_ID2
,,"30,5",,,,2025-09-18 14:20:37,DEV_FARM60_TYPE11_ID3
,,,"29,8",,,2025-09-18 14:20:38,DEV_FARM60_TYPE11_ID4
,,,,"30,5",,2025-09-18 14:20:39,DEV_FARM60_TYPE11_ID5
,"29,7",,,,,2025-09-18 14:30:36,DEV_FARM60_TYPE11_ID2
,,"30,8",,,,2025-09-18 14:30:37,DEV_FARM60_TYPE11_ID3
,,,30,,,2025-09-18 14:30:38,DEV_FARM60_TYPE11_ID4
,,,,"30,7",,2025-09-18 14:30:39,DEV_FARM60_TYPE11_ID5
,"29,7",,,,,2025-09-18 14:40:36,DEV_FARM60_TYPE11_ID2
,,"30,7",,,,2025-09-18 14:40:37,DEV_FARM60_TYPE11_ID3
,,,"29,9",,,2025-09-18 14:40:38,DEV_FARM60_TYPE11_ID4
,,,,"30,6",,2025-09-18 14:40:38,DEV_FARM60_TYPE11_ID5
,30,,,,,2025-09-18 14:50:36,DEV_FARM60_TYPE11_ID2
,,"31,4",,,,2025-09-18 14:50:37,DEV_FARM60_TYPE11_ID3
,,,"30,3",,,2025-09-18 14:50:38,DEV_FARM60_TYPE11_ID4
,,,,"31,1",,2025-09-18 14:50:38,DEV_FARM60_TYPE11_ID5
,"30,3",,,,,2025-09-18 15:00:36,DEV_FARM60_TYPE11_ID2
,,"31,8",,,,2025-09-18 15:00:37,DEV_FARM60_TYPE11_ID3
,,,"30,6",,,2025-09-18 15:00:38,DEV_FARM60_TYPE11_ID4
,,,,"31,5",,2025-09-18 15:00:38,DEV_FARM60_TYPE11_ID5
,"30,1",,,,,2025-09-18 15:10:36,DEV_FARM60_TYPE11_ID2
,,"31,2",,,,2025-09-18 15:10:37,DEV_FARM60_TYPE11_ID3
,,,"30,3",,,2025-09-18 15:10:38,DEV_FARM60_TYPE11_ID4
,,,,"31,1",,2025-09-18 15:10:38,DEV_FARM60_TYPE11_ID5
,"29,9",,,,,2025-09-18 15:20:36,DEV_FARM60_TYPE11_ID2
,,"31,1",,,,2025-09-18 15:20:37,DEV_FARM60_TYPE11_ID3
,,,"30,2",,,2025-09-18 15:20:38,DEV_FARM60_TYPE11_ID4
,,,,31,,2025-09-18 15:20:39,DEV_FARM60_TYPE11_ID5
,"29,7",,,,,2025-09-18 15:30:36,DEV_FARM60_TYPE11_ID2
,,"30,9",,,,2025-09-18 15:30:37,DEV_FARM60_TYPE11_ID3
,,,"29,9",,,2025-09-18 15:30:38,DEV_FARM60_TYPE11_ID4
,,,,"30,8",,2025-09-18 15:30:39,DEV_FARM60_TYPE11_ID5
,"29,4",,,,,2025-09-18 15:40:36,DEV_FARM60_TYPE11_ID2
,,"30,4",,,,2025-09-18 15:40:37,DEV_FARM60_TYPE11_ID3
,,,"29,5",,,2025-09-18 15:40:38,DEV_FARM60_TYPE11_ID4
,,,,"30,4",,2025-09-18 15:40:39,DEV_FARM60_TYPE11_ID5
,"29,3",,,,,2025-09-18 15:50:36,DEV_FARM60_TYPE11_ID2
,,"30,1",,,,2025-09-18 15:50:37,DEV_FARM60_TYPE11_ID3
,,,"29,4",,,2025-09-18 15:50:38,DEV_FARM60_TYPE11_ID4
,,,,"30,2",,2025-09-18 15:50:39,DEV_FARM60_TYPE11_ID5
,"29,2",,,,,2025-09-18 16:00:36,DEV_FARM60_TYPE11_ID2
,,30,,,,2025-09-18 16:00:37,DEV_FARM60_TYPE11_ID3
,,,"29,3",,,2025-09-18 16:00:38,DEV_FARM60_TYPE11_ID4
,,,,"30,2",,2025-09-18 16:00:39,DEV_FARM60_TYPE11_ID5
,"29,1",,,,,2025-09-18 16:10:36,DEV_FARM60_TYPE11_ID2
,,"29,7",,,,2025-09-18 16:10:37,DEV_FARM60_TYPE11_ID3
,,,"29,2",,,2025-09-18 16:10:38,DEV_FARM60_TYPE11_ID4
,,,,"29,9",,2025-09-18 16:10:39,DEV_FARM60_TYPE11_ID5
,29,,,,,2025-09-18 16:20:36,DEV_FARM60_TYPE11_ID2
,,"29,7",,,,2025-09-18 16:20:37,DEV_FARM60_TYPE11_ID3
,,,"29,1",,,2025-09-18 16:20:38,DEV_FARM60_TYPE11_ID4
,,,,"29,8",,2025-09-18 16:20:39,DEV_FARM60_TYPE11_ID5
,"29,1",,,,,2025-09-18 16:30:36,DEV_FARM60_TYPE11_ID2
,,"29,8",,,,2025-09-18 16:30:36,DEV_FARM60_TYPE11_ID3
,,,"29,1",,,2025-09-18 16:30:38,DEV_FARM60_TYPE11_ID4
,,,,"29,9",,2025-09-18 16:30:38,DEV_FARM60_TYPE11_ID5
,29,,,,,2025-09-18 16:40:35,DEV_FARM60_TYPE11_ID2
,,"29,6",,,,2025-09-18 16:40:35,DEV_FARM60_TYPE11_ID3
,,,"28,9",,,2025-09-18 16:40:37,DEV_FARM60_TYPE11_ID4
,,,,"29,7",,2025-09-18 16:40:38,DEV_FARM60_TYPE11_ID5
,"28,7",,,,,2025-09-18 16:50:35,DEV_FARM60_TYPE11_ID2
,,"29,2",,,,2025-09-18 16:50:35,DEV_FARM60_TYPE11_ID3
,,,"28,7",,,2025-09-18 16:50:37,DEV_FARM60_TYPE11_ID4
,,,,"29,5",,2025-09-18 16:50:38,DEV_FARM60_TYPE11_ID5
,"28,5",,,,,2025-09-18 17:00:35,DEV_FARM60_TYPE11_ID2
,,29,,,,2025-09-18 17:00:35,DEV_FARM60_TYPE11_ID3
,,,"28,4",,,2025-09-18 17:00:37,DEV_FARM60_TYPE11_ID4
,,,,"29,3",,2025-09-18 17:00:38,DEV_FARM60_TYPE11_ID5
,"28,3",,,,,2025-09-18 17:10:35,DEV_FARM60_TYPE11_ID2
,,"28,8",,,,2025-09-18 17:10:36,DEV_FARM60_TYPE11_ID3
,,,"28,2",,,2025-09-18 17:10:37,DEV_FARM60_TYPE11_ID4
,,,,"29,1",,2025-09-18 17:10:38,DEV_FARM60_TYPE11_ID5
,"28,1",,,,,2025-09-18 17:20:35,DEV_FARM60_TYPE11_ID2
,,"28,6",,,,2025-09-18 17:20:36,DEV_FARM60_TYPE11_ID3
,,,28,,,2025-09-18 17:20:37,DEV_FARM60_TYPE11_ID4
,,,,29,,2025-09-18 17:20:38,DEV_FARM60_TYPE11_ID5
,"28,1",,,,,2025-09-18 17:30:36,DEV_FARM60_TYPE11_ID2
,,"28,5",,,,2025-09-18 17:30:37,DEV_FARM60_TYPE11_ID3
,,,28,,,2025-09-18 17:30:38,DEV_FARM60_TYPE11_ID4
,,,,"28,8",,2025-09-18 17:30:39,DEV_FARM60_TYPE11_ID5
,"28,1",,,,,2025-09-18 17:40:36,DEV_FARM60_TYPE11_ID2
,,"28,4",,,,2025-09-18 17:40:37,DEV_FARM60_TYPE11_ID3
,,,28,,,2025-09-18 17:40:38,DEV_FARM60_TYPE11_ID4
,,,,"28,7",,2025-09-18 17:40:39,DEV_FARM60_TYPE11_ID5
,"28,1",,,,,2025-09-18 17:50:36,DEV_FARM60_TYPE11_ID2
,,"28,3",,,,2025-09-18 17:50:37,DEV_FARM60_TYPE11_ID3
,,,"27,9",,,2025-09-18 17:50:38,DEV_FARM60_TYPE11_ID4
,,,,"28,6",,2025-09-18 17:50:39,DEV_FARM60_TYPE11_ID5
,28,,,,,2025-09-18 18:00:36,DEV_FARM60_TYPE11_ID2
,,"28,1",,,,2025-09-18 18:00:37,DEV_FARM60_TYPE11_ID3
,,,"27,8",,,2025-09-18 18:00:38,DEV_FARM60_TYPE11_ID4
,,,,"28,4",,2025-09-18 18:00:39,DEV_FARM60_TYPE11_ID5
,28,,,,,2025-09-18 18:10:36,DEV_FARM60_TYPE11_ID2
,,"28,2",,,,2025-09-18 18:10:37,DEV_FARM60_TYPE11_ID3
,,,"27,7",,,2025-09-18 18:10:38,DEV_FARM60_TYPE11_ID4
,,,,"28,6",,2025-09-18 18:10:39,DEV_FARM60_TYPE11_ID5
,"27,9",,,,,2025-09-18 18:20:36,DEV_FARM60_TYPE11_ID2
,,"28,2",,,,2025-09-18 18:20:37,DEV_FARM60_TYPE11_ID3
,,,"27,7",,,2025-09-18 18:20:38,DEV_FARM60_TYPE11_ID4
,,,,"28,5",,2025-09-18 18:20:39,DEV_FARM60_TYPE11_ID5
,"27,8",,,,,2025-09-18 18:30:36,DEV_FARM60_TYPE11_ID2
,,"28,1",,,,2025-09-18 18:30:37,DEV_FARM60_TYPE11_ID3
,,,"27,6",,,2025-09-18 18:30:38,DEV_FARM60_TYPE11_ID4
,,,,"28,5",,2025-09-18 18:30:39,DEV_FARM60_TYPE11_ID5
,"27,6",,,,,2025-09-18 18:40:35,DEV_FARM60_TYPE11_ID2
,,28,,,,2025-09-18 18:40:37,DEV_FARM60_TYPE11_ID3
,,,"27,6",,,2025-09-18 18:40:38,DEV_FARM60_TYPE11_ID4
,,,,"28,4",,2025-09-18 18:40:39,DEV_FARM60_TYPE11_ID5
,"27,4",,,,,2025-09-18 18:50:35,DEV_FARM60_TYPE11_ID2
,,"27,8",,,,2025-09-18 18:50:37,DEV_FARM60_TYPE11_ID3
,,,"27,3",,,2025-09-18 18:50:38,DEV_FARM60_TYPE11_ID4
,,,,"28,2",,2025-09-18 18:50:39,DEV_FARM60_TYPE11_ID5
,"27,2",,,,,2025-09-18 19:00:35,DEV_FARM60_TYPE11_ID2
,,"27,5",,,,2025-09-18 19:00:37,DEV_FARM60_TYPE11_ID3
,,,"27,1",,,2025-09-18 19:00:38,DEV_FARM60_TYPE11_ID4
,,,,28,,2025-09-18 19:00:39,DEV_FARM60_TYPE11_ID5
,"27,3",,,,,2025-09-18 19:10:35,DEV_FARM60_TYPE11_ID2
,,"27,3",,,,2025-09-18 19:10:37,DEV_FARM60_TYPE11_ID3
,,,27,,,2025-09-18 19:10:38,DEV_FARM60_TYPE11_ID4
,,,,"27,7",,2025-09-18 19:10:39,DEV_FARM60_TYPE11_ID5
,"27,1",,,,,2025-09-18 19:20:35,DEV_FARM60_TYPE11_ID2
,,"27,1",,,,2025-09-18 19:20:37,DEV_FARM60_TYPE11_ID3
,,,"26,8",,,2025-09-18 19:20:38,DEV_FARM60_TYPE11_ID4
,,,,"27,5",,2025-09-18 19:20:39,DEV_FARM60_TYPE11_ID5
,27,,,,,2025-09-18 19:30:36,DEV_FARM60_TYPE11_ID2
,,"26,9",,,,2025-09-18 19:30:37,DEV_FARM60_TYPE11_ID3
,,,"26,7",,,2025-09-18 19:30:38,DEV_FARM60_TYPE11_ID4
,,,,"27,2",,2025-09-18 19:30:39,DEV_FARM60_TYPE11_ID5
,27,,,,,2025-09-18 19:40:36,DEV_FARM60_TYPE11_ID2
,,"26,8",,,,2025-09-18 19:40:37,DEV_FARM60_TYPE11_ID3
,,,"26,6",,,2025-09-18 19:40:37,DEV_FARM60_TYPE11_ID4
,,,,"27,2",,2025-09-18 19:40:39,DEV_FARM60_TYPE11_ID5
,"26,9",,,,,2025-09-18 19:50:36,DEV_FARM60_TYPE11_ID2
,,"26,6",,,,2025-09-18 19:50:37,DEV_FARM60_TYPE11_ID3
,,,"26,4",,,2025-09-18 19:50:37,DEV_FARM60_TYPE11_ID4
,,,,27,,2025-09-18 19:50:39,DEV_FARM60_TYPE11_ID5
,"26,8",,,,,2025-09-18 20:00:36,DEV_FARM60_TYPE11_ID2
,,"26,6",,,,2025-09-18 20:00:37,DEV_FARM60_TYPE11_ID3
,,,"26,3",,,2025-09-18 20:00:37,DEV_FARM60_TYPE11_ID4
,,,,27,,2025-09-18 20:00:39,DEV_FARM60_TYPE11_ID5
,"26,7",,,,,2025-09-18 20:10:36,DEV_FARM60_TYPE11_ID2
,,"26,4",,,,2025-09-18 20:10:37,DEV_FARM60_TYPE11_ID3
,,,"26,2",,,2025-09-18 20:10:37,DEV_FARM60_TYPE11_ID4
,,,,"26,8",,2025-09-18 20:10:39,DEV_FARM60_TYPE11_ID5
,"26,5",,,,,2025-09-18 20:20:36,DEV_FARM60_TYPE11_ID2
,,"26,3",,,,2025-09-18 20:20:37,DEV_FARM60_TYPE11_ID3
,,,"26,1",,,2025-09-18 20:20:37,DEV_FARM60_TYPE11_ID4
