datetime;id_rabbit;e_PM_2.5;r_PM_2.5;r_umidity;r_temperature;st_8h_mean;st_8h_std;st_8h_rms;st_8h_median;st_8h_min;st_8h_max;st_8h_diff_last;st_8h_slope;st_12h_mean;st_12h_std;st_12h_rms;st_12h_median;st_12h_min;st_12h_max;st_12h_diff_last;st_12h_slope;st_24h_mean;st_24h_std;st_24h_rms;st_24h_median;st_24h_min;st_24h_max;st_24h_diff_last;st_24h_slope;wl_8h_D1_energy;wl_8h_A_energy;wl_8h_A_rms;wl_8h_D1_energy_rel;wl_8h_A_energy_rel;wl_12h_D1_energy;wl_12h_A_energy;wl_12h_A_rms;wl_12h_D1_energy_rel;wl_12h_A_energy_rel;wl_12h_D2_energy;wl_12h_D2_energy_rel;wl_24h_D1_energy;wl_24h_D2_energy;wl_24h_A_energy;wl_24h_A_rms;wl_24h_D1_energy_rel;wl_24h_D2_energy_rel;wl_24h_A_energy_rel;wl_24h_D3_energy;wl_24h_D3_energy_rel;fft_8h_fft_f1_cph;fft_8h_fft_period1_h;fft_8h_fft_power1;fft_8h_fft_f2_cph;fft_8h_fft_period2_h;fft_8h_fft_power2;fft_12h_fft_f1_cph;fft_12h_fft_period1_h;fft_12h_fft_power1;fft_12h_fft_f2_cph;fft_12h_fft_period2_h;fft_12h_fft_power2;fft_12h_fft_f3_cph;fft_12h_fft_period3_h;fft_12h_fft_power3;fft_8h_fft_f3_cph;fft_8h_fft_period3_h;fft_8h_fft_power3;fft_24h_fft_f1_cph;fft_24h_fft_period1_h;fft_24h_fft_power1;fft_24h_fft_f2_cph;fft_24h_fft_period2_h;fft_24h_fft_power2;fft_24h_fft_f3_cph;fft_24h_fft_period3_h;fft_24h_fft_power3
2025-03-21 09:00:00;5;5.78;9.0;67.6;12.98;6.19125;1.782318977484109;6.442688685634282;6.25;3.5;9.72;-0.8799999999999999;-0.7082142857142858;9.544166666666667;5.0648288196366735;10.80479561737904;6.98;3.5;18.75;-0.8799999999999999;-1.3803146853146846;14.551250000000001;8.901652614589795;17.0580859369782;14.485;3.5;37.24;-0.8799999999999999;-0.5168565217391309;0.8888793067747842;93.62135035677898;2.5559478564780607;0.009405112123196599;0.9905948878768034;3.574253001884416;629.3268882736672;11.633552913738813;0.005638175150179615;0.9927263741357268;1.0367742165826384;0.0016354507140936302;25.961264460348936;27.08012599524823;1387.3603132474466;21.198984212912748;0.01787238295662306;0.018642635185966382;0.9550934953514829;12.189398633890923;0.008391486505927626;0.5;2.0;43.42810000000001;0.25;4.0;35.1517;0.3333333333333333;3.0;113.15290000000002;;;;;;;0.375;2.6666666666666665;12.177138382704294;0.16666666666666666;6.0;1237.3849;0.25;4.0;722.1324999999997;0.41666666666666663;2.4000000000000004;35.39494918754952
2025-03-21 10:00:00;5;11.71;10.5;54.35;15.97;5.69875;1.1826816720910154;5.8201793357249745;5.735;3.5;7.12;2.2800000000000002;-0.36440476190476223;8.463333333333333;4.313091183311055;9.498987665360277;6.824999999999999;3.5;16.79;2.2800000000000002;-1.1066433566433567;14.580000000000004;8.872114084778968;17.067243723968243;14.485;3.5;37.24;2.2800000000000002;-0.7074086956521746;1.095382830110999;73.11298277785254;1.3523213793831528;0.014760907629980871;0.9852390923700192;0.6900255303094365;517.013984713676;10.092354982373472;0.001329105235903797;0.9958558979843518;1.461449096197142;0.002814996779744411;13.934434950120664;19.114060809288933;1585.6824454214116;19.84602355786079;0.008571703281527955;0.011757926198570978;0.9754252303400568;6.901035622366913;0.004245140179844289;0.25;4.0;10.802499999999993;0.5;2.0;7.022500000000002;0.41666666666666663;2.4000000000000004;25.53301370278062;;;;;;;0.375;2.6666666666666665;0.27013716231679075;0.16666666666666666;6.0;1197.0544000000004;0.25;4.0;685.5555999999996;0.41666666666666663;2.4000000000000004;37.32603905844306
2025-03-21 11:00:00;5;20.16;8.75;46.45;19.55;6.311249999999999;2.3207996332083476;6.724432132158076;5.735;3.5;11.71;5.930000000000001;0.2555952380952379;8.140833333333333;3.893144526671924;9.023842954454974;6.824999999999999;3.5;16.79;5.930000000000001;-0.6582867132867132;14.801666666666668;8.730042318848684;17.184381717129074;14.485;3.5;37.24;5.930000000000001;-0.825130434782609;3.893828293124513;95.21079645763011;3.086678110717782;0.03929007655210222;0.9607099234478977;8.883299258856196;508.9164939861691;8.629665321041928;0.017051174161512167;0.9768469483872425;3.178948436444281;0.0061018774512452455;34.06913785909128;13.431673295445197;2061.18882939543;17.19814799528955;0.016043922956338028;0.006325276924180246;0.9706601591757128;14.8020984596959;0.00697064094376896;0.25;4.0;65.09450000000002;0.375;2.6666666666666665;25.770331116861485;0.16666666666666666;6.0;338.4999000000001;0.25;4.0;36.24889999999997;0.5;2.0;12.744899999999989;0.5;2.0;5.062500000000004;0.125;8.0;1255.678906198558;0.4583333333333333;2.181818181818182;92.54000789056477;;;
2025-03-21 12:00:00;5;21.9;6.75;40.98;22.15;7.941250000000001;5.159548036165571;9.470184132317598;5.735;3.5;20.16;8.45;1.4963095238095236;8.421666666666667;4.5696896928444595;9.581572591873076;6.824999999999999;3.5;20.16;8.45;0.1971328671328669;15.086666666666668;8.788473353711035;17.45980455217068;15.335;3.5;37.24;8.45;-0.7876521739130441;6.515056612536538;177.84762889592002;7.2426851727411465;0.0353382605301532;0.9646617394698468;19.57876070994164;517.6325140548761;8.498846900383766;0.03603732912965567;0.9527719120513366;6.079839831962498;0.011190758819007805;79.31611776274393;54.44036867791121;2423.875551987253;15.82521745402844;0.030940894312367212;0.021236965967347976;0.9455439751187064;5.840011280782151;0.0022781646015784737;0.25;4.0;205.9265;0.5;2.0;116.42409999999998;0.16666666666666666;6.0;472.4911000000001;0.25;4.0;87.70880000000002;0.5;2.0;48.163599999999995;0.375;2.6666666666666665;111.81059400316174;0.125;8.0;1762.9074066162286;0.25;4.0;1130.2164;;;
2025-03-21 13:00:00;5;25.66;8.0;40.35;23.3;9.967500000000001;6.799821229267722;12.066011147019548;6.3100000000000005;3.5;21.9;1.7399999999999984;2.418333333333333;9.090000000000002;5.7525124945540105;10.757299847080587;6.824999999999999;3.5;21.9;1.7399999999999984;0.9636363636363632;15.160000000000002;8.837539721740058;17.54786905391459;15.335;3.5;37.24;1.7399999999999984;-0.6645913043478268;3.0138685539219203;260.71429392709194;8.994233405493352;0.011427935968495185;0.9885720640315049;17.040395114397533;560.1953938943727;11.16304840814631;0.029386136062352495;0.966056124636122;2.642936055343178;0.004557739301525445;105.19543065978417;35.297777935866186;2416.6706742117053;15.917927084856768;0.04092872819233657;0.013733421212969311;0.9402619157013924;13.046219139589143;0.005075934893301749;0.25;4.0;209.65479999999994;0.375;2.6666666666666665;59.52756691537881;0.16666666666666666;6.0;747.6573;0.25;4.0;137.2724;0.3333333333333333;3.0;59.71529999999998;0.5;2.0;29.37639999999999;0.125;8.0;1894.388714469488;0.25;4.0;1110.7156000000004;;;
2025-03-21 14:00:00;5;27.01;7.25;41.17;23.47;12.32;8.382271470192313;14.901170256057073;8.745000000000001;3.5;25.66;3.7600000000000016;3.3909523809523807;10.418333333333335;7.36031683345825;12.756015574360724;6.824999999999999;3.5;25.66;3.7600000000000016;1.629580419580419;15.600416666666668;9.083043946078257;18.05199954298692;15.895;3.5;37.24;3.7600000000000016;-0.5603521739130444;2.2051222877267147;388.0763360084391;11.68461410105175;0.005650082116002942;0.994349917883997;27.450122786400065;745.5944379006879;15.291461895875223;0.035432532514643296;0.9624109651247915;1.670675235031885;0.00215650236056521;119.75689773631424;36.522705698273256;2990.6467486962565;18.667188717247406;0.038009748427162045;0.011591974088434409;0.9492040350172263;3.762686650983065;0.0011942424671772302;0.5;2.0;179.56000000000006;0.375;2.6666666666666665;129.97389611002117;0.16666666666666666;6.0;861.1501;0.5;2.0;220.8196000000001;0.41666666666666663;2.4000000000000004;137.44945511885686;0.25;4.0;115.17839999999998;0.125;8.0;2266.696022564782;0.375;2.6666666666666665;87.66897743521791;;;
2025-03-21 15:00:00;5;18.9;5.0;41.23;24.07;15.012500000000001;9.171811094325918;17.592534638306102;15.935;3.5;27.01;1.3500000000000014;3.8811904761904756;12.101666666666665;8.555462030513347;14.82046782887324;6.98;3.5;27.01;1.3500000000000014;2.1037062937062934;15.905416666666667;9.334661652128707;18.442293444688488;15.895;3.5;37.24;1.3500000000000014;-0.4018043478260878;2.9999219729586253;520.6495184413354;13.21383140801647;0.00572887458942988;0.9942711254105701;14.850379493292603;937.9812066458137;17.782561298646215;0.015547586292621096;0.9820182546694807;2.325003044168521;0.002434159037898236;110.92294427264717;17.77439979833459;3083.2472732640936;19.6635798925995;0.03440816857327184;0.005513598188004807;0.956419725668177;11.794072401865586;0.003658507570546293;0.25;4.0;225.03240000000008;0.375;2.6666666666666665;200.2314395626037;0.3333333333333333;3.0;225.0157000000001;;;;;;;0.5;2.0;66.2596;0.125;8.0;2125.1827246980747;0.375;2.6666666666666665;31.249475301924978;;;
2025-03-21 16:00:00;5;19.25;5.5;47.45;21.85;16.8275;8.281649518664745;18.755011996797016;19.53;3.5;27.01;-8.110000000000003;3.065952380952381;13.083333333333334;8.60323324234687;15.658519512819;9.275;3.5;27.01;-8.110000000000003;2.1387412587412586;15.727916666666667;9.234997283507392;18.23876469227014;15.895;3.5;37.24;-8.110000000000003;-0.29300434782608753;10.66016842087353;560.7916668923355;12.143908304853772;0.018654535276854543;0.9813454647231454;12.307520153785925;855.1392775776145;16.11631309649892;0.014062467338639932;0.9770748299139872;7.756668161680862;0.008862702747372862;102.76478284811915;52.80853305275728;2564.3683772153213;15.81103649573448;0.03769824820807427;0.019372290110994714;0.9407132764935254;6.041283092994642;0.0022161851874055996;0.25;4.0;235.48680000000004;0.5;2.0;40.704399999999985;0.16666666666666666;6.0;248.2519000000001;0.25;4.0;198.23560000000015;0.3333333333333333;3.0;76.23429999999996;0.375;2.6666666666666665;16.4672204321414;0.125;8.0;2454.8776975035044;0.375;2.6666666666666665;81.88730249649569;;;
2025-03-21 17:00:00;5;14.08;5.25;53.02;19.53;18.79625;6.575752689806696;19.913300517493326;19.705;5.78;27.01;0.3500000000000014;1.8398809523809518;14.213333333333333;8.447046163534853;16.53394790524433;15.305;3.5;27.01;0.3500000000000014;2.0398601398601395;15.854583333333332;9.261550886670594;18.361485165966286;16.185;3.5;37.24;0.3500000000000014;-0.2525434782608702;6.146221587815991;662.3362179507424;9.943378034864692;0.009194290267458065;0.990805709732542;19.752523762211233;889.1046859810036;15.376784994774459;0.021655131155219443;0.9747452435659514;3.2833642680567516;0.003599625278829202;86.84329807629713;29.34525179315801;3396.232654958484;20.39074124413931;0.02463261536578881;0.008323616401556025;0.9633223810641708;13.119903442281263;0.003721387168484455;0.375;2.6666666666666665;155.79919709207533;;;;0.41666666666666663;2.4000000000000004;126.64255531618956;;;;;;;;;;0.125;8.0;2167.9075474272404;0.375;2.6666666666666665;143.41105257275962;;;
2025-03-21 18:00:00;5;17.5;8.5;58.45;17.12;19.833750000000002;4.875104966818664;20.424110445745246;19.705;11.71;27.01;-5.17;0.052261904761903046;14.816666666666668;8.152273029993264;16.91133249234568;16.49;3.5;27.01;-5.17;1.6995804195804196;15.621666666666668;9.232915604269085;18.146162128670625;14.83;3.5;37.24;-5.17;-0.22881739130434853;12.620116730666041;737.9093651335563;6.06522269319352;0.01681495135849858;0.9831850486415015;32.37056540366168;786.6205622115525;14.143033776982595;0.03923721849971617;0.9534835889018148;6.0053079475114135;0.007279192598468895;111.07846071002761;23.116018890414747;4618.083933036627;29.89112649408797;0.023350330213883046;0.004859327999967642;0.9707893330763298;4.761838724575352;0.0010010087098195845;0.375;2.6666666666666665;105.37780468223087;;;;0.3333333333333333;3.0;127.72750000000016;;;;;;;;;;0.125;8.0;2488.9739645134646;0.375;2.6666666666666665;244.38963548653442;;;
2025-03-21 19:00:00;5;12.69;10.75;66.95;14.47;20.557499999999997;3.95906791429498;20.93525793965768;19.705;14.08;27.01;3.42;-1.0126190476190509;15.819166666666668;7.666456654732282;17.578981530983718;18.2;3.5;27.01;3.42;1.3779370629370629;14.990833333333333;8.539796990496255;17.252629268220733;14.83;3.5;37.24;3.42;-0.02505217391304421;5.26392213719536;870.5792819387964;4.460633457287914;0.006010119291556027;0.993989880708444;26.740968032963444;852.2043137411908;15.012175620097517;0.030233826562783683;0.9635177524593124;5.526552362786447;0.006248420977903953;103.88376883839801;24.439480479413373;4169.913018873571;27.190120061281604;0.024128029752169704;0.005676310348849199;0.9685034198157884;7.285977322936859;0.0016922400831926273;0.5;2.0;47.05960000000002;0.375;2.6666666666666665;46.23112483199796;0.41666666666666663;2.4000000000000004;165.97376911809607;;;;;;;0.25;4.0;11.75200000000002;0.125;8.0;2564.8024470440323;0.375;2.6666666666666665;439.2643529559683;;;
2025-03-21 20:00:00;5;18.26;12.75;74.4;12.73;19.62375;4.745500335844473;20.189386753935842;19.075;12.69;27.01;-4.8100000000000005;-1.7108333333333348;16.511666666666667;6.9430850891772575;17.912050878296057;18.2;3.5;27.01;-4.8100000000000005;0.7376223776223775;13.967916666666667;7.174698007097968;15.702833741079983;13.98;3.5;27.01;-4.8100000000000005;0.19377826086956476;9.693022413164377;845.6850822294058;5.97517279299311;0.01133185705894906;0.9886681429410509;5.492110324473492;857.9232278203629;14.735508321223298;0.006310816216122368;0.985813375632768;6.854074937212867;0.00787580815110948;97.17819507741896;5.7332248010754725;2537.6764369726584;16.891568304946286;0.0367152778230114;0.00216609231346156;0.958769560744917;6.217528794390569;0.0023490691186099965;0.5;2.0;205.34890000000004;0.25;4.0;77.71210000000006;0.41666666666666663;2.4000000000000004;123.52245022424177;;;;;;;0.375;2.6666666666666665;10.737382199038569;0.4583333333333333;2.181818181818182;383.05789932059764;0.29166666666666663;3.428571428571429;272.60963525896574;0.20833333333333331;4.800000000000001;106.94092394730968
2025-03-21 21:00:00;5;12.78;14.5;76.6;12.08;19.16875;4.679482977584169;19.73166332319706;18.58;12.69;27.01;5.570000000000002;-1.580595238095237;17.741666666666667;5.730587278417069;18.644204640227123;18.58;5.78;27.01;5.570000000000002;0.21342657342657387;13.642916666666665;6.78570647216551;15.237289375082431;13.98;3.5;27.01;5.570000000000002;0.36813478260869553;9.57778572103043;886.5815753627412;6.402311474378073;0.010687592114696566;0.9893124078853035;4.743075735652992;1029.3101000401798;11.639261256608053;0.0045431300889348086;0.985919253025219;9.957372635529891;0.009537616885846322;43.8880669732414;9.159989552423388;2027.3978640425662;13.482234851375692;0.02104244931016903;0.004391822860552643;0.9720504849683029;5.246021768155672;0.0025152428609754767;0.25;4.0;115.42250000000004;0.5;2.0;114.2761000000001;0.3333333333333333;3.0;184.73890000000014;;;;;;;0.375;2.6666666666666665;32.33833186003296;0.4583333333333333;2.181818181818182;180.49055271025634;0.29166666666666663;3.428571428571429;133.65604416160178;;;
2025-03-21 22:00:00;5;8.95;28.75;78.57;11.2;17.55875;4.374978392803786;18.095583369982855;17.880000000000003;12.69;27.01;-5.480000000000002;-1.417500000000002;18.325;4.756827549253108;18.932327731510814;18.58;11.71;27.01;-5.480000000000002;-0.5211188811188805;13.394166666666669;6.702850088250188;14.977713443646863;13.33;3.5;27.01;-5.480000000000002;0.41501739130434795;12.507983474976438;727.8740573758731;5.970428414496813;0.016893958503642555;0.9831060414963575;12.052767953565453;1170.7634340144618;6.403540256595116;0.01008214438302692;0.9793440001149619;12.64058734913792;0.010573855502011174;3.6483825862047374;19.4422206702263;1813.1573307985097;13.48175907621172;0.0019808236947811814;0.010555803968687057;0.9844211560465828;5.603309857894597;0.003042216289949076;0.5;2.0;555.5449000000003;0.25;4.0;71.37289999999999;0.41666666666666663;2.4000000000000004;152.71887801672761;;;;;;;0.375;2.6666666666666665;55.12433408230678;0.4583333333333333;2.181818181818182;290.32628295309775;0.3333333333333333;3.0;90.57490000000004;;;
2025-03-21 23:00:00;5;10.38;25.25;79.87;10.62;15.30125;3.484563952275808;15.693006005861339;15.79;8.95;19.25;-3.83;-1.1222619047619042;18.094999999999995;5.123690889713521;18.806414685774993;18.58;8.95;27.01;-3.83;-1.1823776223776217;13.117916666666666;6.7435709995809265;14.749762286220074;12.735;3.5;27.01;-3.83;0.39433478260869564;6.665934784331199;522.8631533799899;4.577824200476881;0.01258842041603323;0.9874115795839669;18.607152866309708;1365.0916000590987;8.752434258310446;0.013387384802123472;0.9821495352589109;6.203243718349093;0.004463079938965676;21.51245765150907;19.78369924968493;1667.8688680289047;13.581107700309301;0.01255271937208958;0.011543972745749644;0.9732170163432209;4.603682378141992;0.002686291538939839;0.375;2.6666666666666665;163.19155604031596;;;;0.41666666666666663;2.4000000000000004;213.772059607572;;;;;;;;;;0.4583333333333333;2.181818181818182;219.10730459214503;0.29166666666666663;3.428571428571429;214.64779644992245;;;
2025-03-22 00:00:00;5;8.31;22.75;81.48;10.03;14.236249999999998;3.5236945721075204;14.665852770977896;13.43;8.95;19.25;1.4300000000000015;-1.146785714285714;17.279999999999998;5.494791473143756;18.132598637077184;17.880000000000003;8.95;27.01;1.4300000000000015;-1.3852447552447542;12.850833333333332;6.719740766742585;14.501683810279873;12.2;3.5;27.01;1.4300000000000015;0.4068695652173911;8.50393281562563;452.15370706532565;3.8046185532263377;0.018460418496094668;0.9815395815039054;4.084399037549466;1447.1683602115595;10.907620306665965;0.0027967517425469108;0.9909341854141539;9.15539046743921;0.006269062843299106;60.3559390271822;4.050847590033493;1364.56529385279;12.04078440481308;0.04206841736701826;0.002823462775236769;0.9511094223965904;5.736967427322755;0.003998697461154721;0.5;2.0;196.84090000000003;0.25;4.0;136.68770000000004;0.16666666666666666;6.0;724.6033000000002;0.5;2.0;337.8244000000001;0.25;4.0;146.70499999999996;0.375;2.6666666666666665;38.872363431590095;0.4583333333333333;2.181818181818182;237.0159814699414;0.29166666666666663;3.428571428571429;216.5253874893598;;;
2025-03-22 01:00:00;5;6.84;14.75;81.82;9.23;12.86875;3.434270073465394;13.319119246406649;12.735;8.31;18.26;-2.0700000000000003;-1.1034523809523813;16.147499999999997;5.816919466808298;17.163283728160334;15.79;8.31;27.01;-2.0700000000000003;-1.5202447552447544;12.61875;6.7761384729185306;14.323020078414562;11.045000000000002;3.5;27.01;-2.0700000000000003;0.37264782608695635;4.600168236858696;367.77066944672697;4.211465570255463;0.01235372851825629;0.9876462714817438;6.20177755777212;1484.6983174864522;14.0834117573518;0.00414415557082954;0.9921060125257086;5.611667551286499;0.0037498319034618005;81.7219849274299;9.926560784469363;1101.5931977078155;12.351609845499746;0.06823760147943157;0.008288647167264499;0.9198268701426001;4.367538789051733;0.0036468812107038986;0.375;2.6666666666666665;121.26855209550493;;;;0.41666666666666663;2.4000000000000004;327.9230122111944;;;;;;;;;;0.4583333333333333;2.181818181818182;260.88116985971334;0.29166666666666663;3.428571428571429;83.71143267058594;;;
2025-03-22 02:00:00;5;5.61;13.5;82.0;8.98;11.96375;3.915995842375219;12.588341332359876;11.535;6.84;18.26;-1.4700000000000006;-1.4760714285714283;14.579166666666666;5.572734903577915;15.607929875547239;13.43;6.84;27.01;-1.4700000000000006;-1.4458391608391605;12.498750000000001;6.85149272817002;14.253480422923612;11.045000000000002;3.5;27.01;-1.4700000000000006;0.28335217391304324;6.608963189975593;340.01659904685647;4.885535632701718;0.01906657762724382;0.9809334223727562;4.887189782849922;1233.9668808815536;13.25506404532721;0.003917955804961258;0.9892449278408315;8.52849977228578;0.0068371163542072615;81.15295719524286;21.014166820847436;994.1363902965508;12.899763675959646;0.07368681076810596;0.019080844216826223;0.9026749314042743;5.019183050840232;0.004557413610793584;0.375;2.6666666666666665;140.52768342729118;;;;0.3333333333333333;3.0;364.53760000000005;;;;;;;;;;0.4583333333333333;2.181818181818182;218.83010185014695;0.3333333333333333;3.0;116.86170000000013;;;
2025-03-22 03:00:00;5;5.23;13.25;82.62;8.95;10.4775;3.7869636583944137;11.140875190037809;9.665;5.61;18.26;-1.2299999999999995;-1.4123809523809527;12.795833333333334;4.658518109036629;13.617457239391893;12.735;5.61;19.25;-1.2299999999999995;-1.2257692307692303;12.448749999999999;6.897052095219135;14.231679597527013;11.045000000000002;3.5;27.01;-1.2299999999999995;0.1526304347826086;2.73187669871806;277.234256050384;5.206917543484893;0.009757882754934123;0.990242117245066;2.2819170662381176;852.7879125937685;10.251032852158948;0.0026556232381749643;0.9924477236380039;4.207583429031367;0.004896653123821118;79.88401849704198;16.74328152422878;987.7936135665801;13.605426433471274;0.07338825647778158;0.01538180304268623;0.9074712617546045;4.091367954455544;0.0037586787249276688;0.25;4.0;156.14260000000007;0.375;2.6666666666666665;17.542336125774703;0.25;4.0;257.7305000000001;0.41666666666666663;2.4000000000000004;203.75123545001102;;;;0.5;2.0;2.433599999999993;0.4583333333333333;2.181818181818182;242.29309960236145;0.29166666666666663;3.428571428571429;126.32592563404924;;;
2025-03-22 04:00:00;5;4.18;12.0;83.03;8.52;9.545;4.037533281596574;10.36381686445684;8.629999999999999;5.23;18.26;-0.3799999999999999;-1.6126190476190476;11.656666666666666;4.697783756434753;12.567698675573027;11.535;5.23;19.25;-0.3799999999999999;-1.2393006993006983;12.37;6.96787210464333;14.197469551531592;11.045000000000002;3.5;27.01;-0.3799999999999999;0.02252173913043472;3.824236713498062;267.2245168752241;6.071647131322064;0.014109036337059849;0.9858909636629402;0.9463185050320957;721.6031077923498;9.928844132280487;0.0012989004815178063;0.9904599975506546;6.0040837654465085;0.00824110196782764;78.32192383596004;2.5587932480350397;983.1954091890335;14.935681364426754;0.07326602933671233;0.0023936161421387625;0.9197274551661508;4.9312233133952645;0.004612899354997932;0.25;4.0;160.3202;0.375;2.6666666666666665;108.46445541452944;0.25;4.0;218.49760000000006;;;;;;;0.5;2.0;34.81000000000002;0.4583333333333333;2.181818181818182;196.6279391869064;0.3333333333333333;3.0;106.86990000000013;;;
